id	name	chi2	pval
252	5-phrase_feature__noun_phrases__next_system_utterance__moderate_price	67.9810	0.0000
253	5-phrase_feature__noun_phrases__next_system_utterance__moderate_price_range	67.9810	0.0000
254	8.1-lda_feature.current_user_utterance__topic_2	67.7611	0.0000
255	7-syntactic_feature__subj_word__next_system_utterance__Wheatsheaf	67.5646	0.0000
256	5-phrase_feature__noun_phrases__next_system_utterance__contemporary	67.3658	0.0000
257	4.1-ngram.current_user_utterance__does television	66.9870	0.0000
258	6-entity_feature__entity__next_system_utterance__King_ORGANIZATION	66.5479	0.0000
259	8.1-lda_feature.next_user_utterance__topic_21	66.1507	0.0000
260	5-phrase_feature__noun_phrases__current_user_utterance__im_looking	64.9080	0.0000
261	7-syntactic_feature__root_word__current_user_utterance__hill	64.5962	0.0000
262	4.1-ngram.next_system_utterance__town mind	64.5479	0.0000
263	4.1-ngram.next_system_utterance__mind example	64.5479	0.0000
264	4.1-ngram.next_system_utterance__mind	64.5479	0.0000
265	4.1-ngram.next_system_utterance__town mind example	64.5479	0.0000
266	7-syntactic_feature__root_word__current_user_utterance__dont	64.3939	0.0000
267	5-phrase_feature__noun_phrases__current_user_utterance__im	64.1542	0.0000
268	5-phrase_feature__noun_phrases__next_system_utterance__yippee_noodle_bar	63.8958	0.0000
269	5-phrase_feature__noun_phrases__next_system_utterance__yippee_noodle	63.8958	0.0000
270	5-phrase_feature__noun_phrases__next_system_utterance__yippee	63.8958	0.0000
271	8.1-lda_feature.next_system_utterance__topic_9	63.8424	0.0000
272	5-phrase_feature__noun_phrases__current_user_utterance__castle	63.7235	0.0000
273	8.1-lda_feature.next_system_utterance__topic_12	63.4911	0.0000
274	7-syntactic_feature__subj_words_overlap	63.3597	0.0000
275	5-phrase_feature__noun_phrases__next_system_utterance__lamb	63.3111	0.0000
276	5-phrase_feature__noun_phrases__next_system_utterance__lion	63.3111	0.0000
277	6-entity_feature__entity__next_system_utterance__Greek_MISC	63.2493	0.0000
278	7-syntactic_feature__root_word__next_user_utterance__ok	62.7736	0.0000
279	5-phrase_feature__noun_phrases__next_system_utterance__outstanding_venue	62.3295	0.0000
280	4.1-ngram.next_user_utterance__doesnt matter	62.3292	0.0000
