id,name,prefix,chi2,pval
9614,b'2.1-user_action_words.next_user_utterance__expens',b'2.1',1.1102,0.7746
9615,b'5-phrase_feature__noun_phrases__next_system_utterance__postcode_cb1_2ad',b'5',1.1102,0.7746
9616,b'7-syntactic_feature__root_word__next_user_utterance__fendi',b'7',1.1102,0.7746
9617,b'4.1-ngram.next_system_utterance__mexico located 33',b'4.1',1.1097,0.7747
9618,b'4.1-ngram.next_system_utterance__mexico outstanding',b'4.1',1.1097,0.7747
9619,b'4.1-ngram.next_system_utterance__nanna mexico great',b'4.1',1.1097,0.7747
9620,b'4.1-ngram.next_system_utterance__college kettle',b'4.1',1.1091,0.7749
9621,b'4.1-ngram.next_system_utterance__college hughes hall',b'4.1',1.1091,0.7749
9622,b'4.1-ngram.next_system_utterance__beef great',b'4.1',1.1088,0.7750
9623,b'4.1-ngram.next_system_utterance__located basement rose',b'4.1',1.1088,0.7750
9624,b'4.1-ngram.next_system_utterance__located benet',b'4.1',1.1088,0.7750
9625,b'4.1-ngram.next_system_utterance__beef doesn internet',b'4.1',1.1088,0.7750
9626,b'4.1-ngram.next_system_utterance__baron beef cheap',b'4.1',1.1088,0.7750
9627,b'4.1-ngram.next_system_utterance__beef allows',b'4.1',1.1086,0.7750
9628,b'4.1-ngram.next_system_utterance__beef 01223505022',b'4.1',1.1086,0.7750
9629,b'4.1-ngram.next_system_utterance__baron beef',b'4.1',1.1086,0.7750
9630,b'4.1-ngram.next_user_utterance__thats cheap',b'4.1',1.1078,0.7752
9631,b'4.1-ngram.next_user_utterance__sell',b'4.1',1.1076,0.7752
9632,b'4.1-ngram.current_user_utterance__east asian',b'4.1',1.1075,0.7753
9633,b'4.1-ngram.current_user_utterance__asian food',b'4.1',1.1075,0.7753
9634,b'4.1-ngram.next_system_utterance__number 01223902103 price',b'4.1',1.1074,0.7753
9635,b'4.1-ngram.next_system_utterance__road milton',b'4.1',1.1074,0.7753
9636,b'4.1-ngram.next_system_utterance__newmarket road price',b'4.1',1.1074,0.7753
9637,b'4.1-ngram.next_system_utterance__phone number 01223880244',b'4.1',1.1074,0.7753
